Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,Unnamed: 16,Unnamed: 17,Unnamed: 18,final_text,english_final_text,spacy_sentiment,vedar_sentiment,keyword_sum,is_chivowallet,is_Bitcoin,is_El Salvador,is_dinero,is_millones,is_dolar,is_volcano,is_volcano bond,attention_index,UTC_time_diff,Event_bucket,is_significant_Event,is_significant_SubEvent
1429172886418427908,"75,000 muertos, 20 años de guerra, el futuro de nuestro país destruido, millones de inmigrantes, 2 millones de dólares diarios gastados y perdidos durante la guerra, para esto: https://t.co/dSX9fU5vVJ",Nayib Bukele 🇸🇻,nayibbukele,2021-08-21 20:05:43,Sat Aug 21 20:05:43 +0000 2021,4172,945,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/MigueVaquerano/status/1429154095114461188 ,0,0,,,,,,"75,000 muertos, 20 años de guerra, el futuro de nuestro país destruido, millones de inmigrantes, 2 millones de dólares diarios gastados y perdidos durante la guerra, para esto: https://t.co/dSX9fU5vVJ","75,000 killed, 20 years of war, the future of our country destroyed, millions of immigrants, 2 million dollars spent and lost during the war, for this: https://t.co/dsx9fu5vvj",Neutral,Negative,1,0,0,0,0,1,0,0,0,6062,,other,1,0
1429607967767289858,"La oposición torpe siempre juega ajedrez de un paso.

Han apostado todo a meterle miedo a la población sobre la #LeyBitcoin y puede que logren algo, pero solo hasta el 7 de septiembre.

Una vez en vigencia, la gente verá los beneficios, quedarán como mentirosos y perderán doble😉",Nayib Bukele 🇸🇻,nayibbukele,2021-08-23 00:54:35,Mon Aug 23 00:54:35 +0000 2021,9533,1973,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,,,,,,"La oposición torpe siempre juega ajedrez de un paso.

Han apostado todo a meterle miedo a la población sobre la #LeyBitcoin y puede que logren algo, pero solo hasta el 7 de septiembre.

Una vez en vigencia, la gente verá los beneficios, quedarán como mentirosos y perderán doble😉","The clumsy opposition always plays a step chess.

They have bet everything to get afraid of the population about #leybitcoin and may have something, but only until September 7.

Once in force, people will see the benefits, they will be like liars and lose double",Negative,Negative,1,0,1,0,0,0,0,0,0,13479,1729.0,_6H,1,0
1430380621516480513,"Estamos buscando 20,000 jóvenes que quieran defender a nuestra patria de sus enemigos internos y externos.

Si quieres ser parte de la @FUERZARMADASV, acércate a los Centros de Reclutamiento y Reserva (tenemos centros en todos los departamentos).

Dios bendiga a El Salvador🇸🇻 https://t.co/Hcjd2JHaSN",Nayib Bukele 🇸🇻,nayibbukele,2021-08-25 04:04:50,Wed Aug 25 04:04:50 +0000 2021,8350,1546,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,video,https://video.twimg.com/ext_tw_video/1430380298525609984/pu/vid/480x270/Fl-AIRV9S1AzVBis.mp4?tag=12,,,,"Estamos buscando 20,000 jóvenes que quieran defender a nuestra patria de sus enemigos internos y externos.

Si quieres ser parte de la @FUERZARMADASV, acércate a los Centros de Reclutamiento y Reserva (tenemos centros en todos los departamentos).

Dios bendiga a El Salvador🇸🇻 https://t.co/Hcjd2JHaSN","We are looking for 20,000 young people who want to defend our homeland from their internal and external enemies.

If you want to be part of the @fuerzarmadasv, come to the recruitment and reserve centers (we have centers in all departments).

God bless El Salvador🇸🇻 https://t.co/hcjd2jhasn",Neutral,Positive,1,0,0,1,0,0,0,0,0,11442,3070.0,_6H,1,0
1431072806201090048,"¡VOLVIMOS A BATIR NUESTRO PROPIO RÉCORD DE VACUNACIONES EN UN DÍA! 🇸🇻

¡Y SUPERAMOS LAS 6 MILLONES DE VACUNAS APLICADAS!

Vacunados 26 de agosto: 109,964

•Primera Dosis: 40,525
•Segunda Dosis: 69,439

Dosis aplicadas este día en el Megacentro del @HospitalSV: 21,426",Nayib Bukele 🇸🇻,nayibbukele,2021-08-27 01:55:19,Fri Aug 27 01:55:19 +0000 2021,4887,722,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,,,,,"¡VOLVIMOS A BATIR NUESTRO PROPIO RÉCORD DE VACUNACIONES EN UN DÍA! 🇸🇻

¡Y SUPERAMOS LAS 6 MILLONES DE VACUNAS APLICADAS!

Vacunados 26 de agosto: 109,964

•Primera Dosis: 40,525
•Segunda Dosis: 69,439

Dosis aplicadas este día en el Megacentro del @HospitalSV: 21,426","We went back to beat our own record of vaccinations in a day!🇸🇻.

And we overcome the 6 million vaccines applied!

Vaccinados August 26: 109,964

• First dose: 40,525
• Second dose: 69,439

Dosage applied this day at the megancentro of @hospitalsv: 21,426",Positive,Neutral,1,0,0,0,0,1,0,0,0,6331,2750.0,_6H,1,0
1431350292965171204,"JAJAJAJA NO ME JO...

¿Este es un periódico de verdad en Guatemala?

La última vez que vi al presidente de Guatemala fue en un evento público en El Salvador, antes de que empezara la pandemia.

Pongan una prueba de esa reunión o pidan disculpas públicas, “periodistas” de cuarta. https://t.co/IFDF29Uhzz",Nayib Bukele 🇸🇻,nayibbukele,2021-08-27 20:17:57,Fri Aug 27 20:17:57 +0000 2021,4980,1021,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/el_Periodico/status/1431335718287183873 ,0,0,,,,,,"JAJAJAJA NO ME JO...

¿Este es un periódico de verdad en Guatemala?

La última vez que vi al presidente de Guatemala fue en un evento público en El Salvador, antes de que empezara la pandemia.

Pongan una prueba de esa reunión o pidan disculpas públicas, “periodistas” de cuarta. https://t.co/IFDF29Uhzz","Hahahaha I do not join me ...

Is this a real newspaper in Guatemala?

The last time I saw the president of Guatemala was at a public event in El Salvador, before the pandemic began.

They put a test of that meeting or ask public apologies, ""journalists"" of fourth.https://t.co/ifdf29uhzz.",Neutral,Negative,1,0,0,1,0,0,0,0,0,7022,1103.0,_6H,1,0
1431727866765615104,"Si usted quiere creerle a este señor que NO SABE NADA DE #Bitcoin y que habla de “TESALE” de “ELIOS MONK”, allá usted 😂 https://t.co/1rzhUC3ngX",Nayib Bukele 🇸🇻,nayibbukele,2021-08-28 21:18:18,Sat Aug 28 21:18:18 +0000 2021,5655,1060,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/chinchontepec22/status/1431691167440285706 ,1,0,,,,,,"Si usted quiere creerle a este señor que NO SABE NADA DE #Bitcoin y que habla de “TESALE” de “ELIOS MONK”, allá usted 😂 https://t.co/1rzhUC3ngX","If you want to believe this gentleman who does not know anything about #BITCOIN and talks about ""Tesale"" by ""Elios Monk"", back you 😂 https://t.co/1rzhuc3ngx",Neutral,Positive,1,0,1,0,0,0,0,0,0,7775,1500.0,_6H,1,0
1431736177363652610,"Lo encontré en TikTok 🤷🏻‍♂️

#Bitcoin 🇸🇻 https://t.co/MlQQjubzh3",Nayib Bukele 🇸🇻,nayibbukele,2021-08-28 21:51:19,Sat Aug 28 21:51:19 +0000 2021,6006,1270,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,video,https://video.twimg.com/ext_tw_video/1431736140038610945/pu/pl/v4j6h3sgLIHNUz_w.m3u8?tag=12&container=fmp4,,,,"Lo encontré en TikTok 🤷🏻‍♂️

#Bitcoin 🇸🇻 https://t.co/MlQQjubzh3","I found it in tiktok 🤷🏻♂️

#Bitcoin 🇸🇻 https://t.co/mlqqjubzh3.",Neutral,Neutral,1,0,1,0,0,0,0,0,0,8546,33.0,0-1H,0,1
1431980812640133127,"Otro golpe al narcotráfico.

¿Recuerdan algún momento en la historia de El Salvador con tantos golpes consecutivos al narco?

Exacto 👊🏼

Las verdaderas “treguas” las hacían otros. https://t.co/uHtRpHgxUK",Nayib Bukele 🇸🇻,nayibbukele,2021-08-29 14:03:25,Sun Aug 29 14:03:25 +0000 2021,4920,944,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/merino_monroy/status/1431979915805700101 ,0,0,,,,,,"Otro golpe al narcotráfico.

¿Recuerdan algún momento en la historia de El Salvador con tantos golpes consecutivos al narco?

Exacto 👊🏼

Las verdaderas “treguas” las hacían otros. https://t.co/uHtRpHgxUK","Another blow to drug trafficking.

Do they remember some time in the history of El Salvador with so many consecutive blows to the narco?

Exactly 👊🏼.

The true ""tremend"" did them others.https://t.co/uhtrphgxuk.",Positive,Positive,1,0,0,1,0,0,0,0,0,6808,972.0,_6H,1,0
1432148309188222976,"A partir del 7 de septiembre 🇸🇻

#Bitcoin @chivowallet https://t.co/HNiHWdY3x1",Nayib Bukele 🇸🇻,nayibbukele,2021-08-30 01:08:59,Mon Aug 30 01:08:59 +0000 2021,9516,2302,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,1,video,https://video.twimg.com/ext_tw_video/1432148156981157889/pu/vid/640x360/YwILpnIcwSCsV2Es.mp4?tag=12,,,,"A partir del 7 de septiembre 🇸🇻

#Bitcoin @chivowallet https://t.co/HNiHWdY3x1","As of September 7 🇸🇻

#Bitcin @chivowallet https://t.co/hnihwdy3x1.",Neutral,Neutral,2,1,1,0,0,0,0,0,0,14120,666.0,_6H,1,0
1432170230067961856,"Hey @KFC_sv, aquí el equipo #Bitcoin quiere #Biscuits

Manden #Biscuits

#SíAlBiscuit",Nayib Bukele 🇸🇻,nayibbukele,2021-08-30 02:36:05,Mon Aug 30 02:36:05 +0000 2021,6549,755,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,4,1,,,,,,"Hey @KFC_sv, aquí el equipo #Bitcoin quiere #Biscuits

Manden #Biscuits

#SíAlBiscuit","Hey @kfc_sv, here the team #bitcoin wants #biscuits

Send #Biscuits.

# SIALBISCUIT.",Negative,Neutral,1,0,1,0,0,0,0,0,0,8059,87.0,1-6H,0,0
